Team,Year,W%,G,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PPG,OG,OFG,OFGA,O3P,O3PA,O2P,O2PA,OFT,OFTA,OORB,ODRB,OAST,OSTL,OBLK,OTOV,OPF,OPPG,Age,SOS,SRS,ORtg,DRtg,Pace,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,OeFG%,OTOV%,DRB%,OFT/FGA,Arena,Attend./G,Champion
Atlanta Hawks,2004,0.341,82,34.5,79.6,5.1,15.2,29.4,64.4,18.7,24.1,12.1,30.6,20.1,7.6,5.0,16.5,22.3,92.8,82,36.2,82.2,5.9,16.4,30.3,65.8,19.2,25.3,12.8,30.3,22.0,8.9,5.1,14.0,20.7,97.5,26.2,-0.36,-5.0,101.0,106.1,90.8,0.303,0.191,0.514,0.465,15.4,28.6,0.235,0.476,13.1,70.5,0.234,Philips Arena,13798,0.0
Boston Celtics,2004,0.439,82,34.7,78.2,6.7,19.5,27.9,58.7,19.2,25.5,10.4,29.8,20.5,9.4,4.0,16.2,22.4,95.3,82,35.3,80.8,6.8,18.7,28.5,62.1,19.4,26.3,13.0,30.8,23.0,8.8,5.0,17.1,22.2,96.7,26.4,-0.54,-1.99,102.1,103.7,93.2,0.327,0.249,0.532,0.486,15.4,25.2,0.245,0.479,15.7,69.5,0.24,FleetCenter,16201,0.0
Chicago Bulls,2004,0.28,82,34.1,82.4,5.2,15.3,28.9,67.0,16.2,22.4,12.8,30.7,21.9,8.0,4.8,16.1,23.3,89.7,82,35.1,80.6,5.4,15.1,29.8,65.6,20.4,27.3,12.3,32.7,23.0,8.5,5.4,15.2,20.5,96.0,26.8,-0.33,-6.69,96.6,103.4,92.2,0.272,0.186,0.486,0.446,14.9,28.1,0.197,0.469,14.1,71.4,0.253,United Center,19736,0.0
Cleveland Cavaliers,2004,0.427,82,35.6,82.4,3.0,9.6,32.6,72.8,18.6,24.8,13.6,31.9,22.0,7.1,6.5,14.8,21.3,92.9,82,36.0,82.4,5.3,14.2,30.8,68.3,18.2,24.3,11.8,30.2,21.7,7.7,5.3,13.1,20.2,95.5,24.9,-0.44,-3.07,101.4,104.2,90.8,0.301,0.116,0.498,0.451,13.7,31.1,0.226,0.469,12.3,73.0,0.221,Gund Arena,18288,0.0
Dallas Mavericks,2004,0.634,82,40.5,88.2,6.2,17.8,34.3,70.4,18.0,22.6,14.3,31.0,23.9,8.0,5.3,12.2,19.6,105.2,82,38.2,83.2,6.5,17.9,31.7,65.3,17.8,23.9,12.3,31.2,23.6,7.1,4.7,15.1,20.6,100.8,27.4,0.42,4.86,112.1,107.4,93.2,0.256,0.201,0.536,0.495,11.1,31.4,0.204,0.498,13.9,71.6,0.214,American Airlines Center,20136,0.0
Denver Nuggets,2004,0.524,82,36.5,82.5,4.0,12.0,32.5,70.5,20.2,26.3,13.2,29.1,21.9,9.1,6.3,15.6,22.0,97.2,82,36.8,81.2,4.6,12.9,32.2,68.4,17.9,24.6,12.9,30.1,23.5,8.1,5.8,17.1,23.1,96.1,25.6,0.58,1.65,103.9,102.7,93.3,0.319,0.146,0.517,0.467,14.2,30.5,0.245,0.481,15.6,69.3,0.221,Pepsi Center,17597,0.0
Detroit Pistons,2004,0.659,82,33.5,77.0,4.1,11.8,29.4,65.2,19.0,25.3,12.4,30.4,20.8,8.0,7.0,15.1,20.3,90.1,82,32.1,77.8,4.3,14.4,27.8,63.4,15.7,21.1,12.0,28.7,19.0,7.9,5.0,16.0,22.9,84.3,27.4,-0.81,5.04,102.0,95.4,87.9,0.328,0.153,0.511,0.461,14.7,30.1,0.247,0.441,15.5,71.8,0.202,The Palace of Auburn Hills,21290,1.0
Golden State Warriors,2004,0.451,82,35.1,79.4,5.2,15.6,29.8,63.8,17.9,24.7,12.2,30.9,20.5,7.0,4.7,14.8,20.6,93.3,82,36.0,80.9,5.0,13.5,30.9,67.4,17.1,22.9,12.0,30.9,21.5,8.1,5.1,14.0,22.0,94.0,28.1,0.66,-0.07,103.0,103.8,89.8,0.311,0.197,0.517,0.475,14.1,28.4,0.226,0.476,13.3,72.1,0.211,The Arena in Oakland,16235,0.0
Houston Rockets,2004,0.549,82,33.4,75.5,6.3,17.1,27.1,58.4,16.7,21.6,10.3,32.3,19.3,6.8,5.4,16.7,21.5,89.8,82,32.1,78.1,5.6,15.0,26.6,63.1,18.2,24.7,11.1,28.7,20.6,8.7,4.4,13.5,20.7,88.0,28.3,0.55,2.28,100.9,99.0,87.8,0.286,0.227,0.528,0.484,16.4,26.5,0.221,0.447,13.1,74.5,0.233,Toyota Center,15629,0.0
Indiana Pacers,2004,0.744,82,33.6,77.1,5.5,15.6,28.1,61.5,18.8,24.6,11.8,29.9,21.6,8.9,5.0,14.4,20.8,91.4,82,32.6,75.4,4.0,12.4,28.6,63.0,16.5,22.0,10.6,29.5,20.1,7.1,6.2,15.9,21.9,85.6,27.1,-0.82,4.93,103.8,97.2,87.5,0.319,0.203,0.52,0.471,14.1,28.5,0.243,0.459,15.7,73.9,0.218,Conseco Fieldhouse,16545,0.25
